slug,name,academy_class,year_start,last_updated,website,birth_info
abir-kobeissi,Abir Kobeissi,Voigt,2017,2026-03-19,http://www.abirkobeissi.com/,
tanja-fender,Tanja Fender,Prangenberg,2002,2026-03-18,http://kunstverein-rosenheim.de/?p=981,
robert-weissenbacher,Robert Weissenbacher,Ingold,2004,2026-03-01,https://www.robert-weissenbacher.eu/biographie,
pavel-sinev,Pavel Sinev,Pitz,2006,2026-02-28,http://www.martplace.de/home.html,
lydiane-lutz,Lydiane Lutz,Wähner,2002,2026-02-17,http://lydianelutz.de,
katharina-burger,Katharina Burger,Hien,2021,2026-02-09,http://www.katharinaburger.com,
stephanie-mueller,Stephanie Müller,Schottenloher,2009,2026-02-05,http://alligatorgozaimasu.bandcamp.com/album/episode-1-solange-bunte-balken-durchlaufen,
kirsten-kleie,Kirsten Kleie,Rehm,2009,2026-02-03,http://sexliebeleben.de/?port=austellung-5-sophia-suessmilch-finisage-gespraech-am-15-februar-2020-ab-19-30-uhr,
quirin-empl,Quirin Empl,Ingold,2006,2026-01-18,http://www.mayerempl.de/,
matthias-wurm,Matthias Wurm,Prangenberg,2006,2026-01-14,http://www.pfaffenhofen.de/artikel/matthias-wurm-kulturfoerderpreistraeger-2022/,
alexandra-hauschka,Alexandra Hauschka,Zeniuk,1995,2026-01-06,http://www.etracker.com,
chi-shin-kim,Chi-Shin Kim,Jetelova,2008,2026-01-05,http://jetklasseseoul.blogspot.com/,
zhenya-li,Zhenya Li,Bruch,2008,2025-12-19,http://www.zhenya-li.de,
seung-il-chung,Seung-il Chung,Jetelova,2006,2025-12-07,http://www.seungilchung.com,
annemarie-faupel,Annemarie Faupel,Kneffel,2016,2025-12-01,http://www.etracker.com,
tibor-pogonyi,Tibor Pogonyi,Doberauer,2000,2025-11-12,http://www.etracker.com,
eva-zenetti,Eva Zenetti,Hien,2005,2025-10-26,http://www.evazenetti.com/,
martina-mair,Martina Mair,Zeniuk,2002,2025-10-09,http://www.etracker.com,
patricia-wich,Patricia Wich,Prangenberg,2002,2025-09-18,http://www.kunstforum.de/nachrichten.aspx?id=11863,
leonid-hrytsak,Leonid Hrytsak,Prangenberg,2006,2025-08-14,http://artpolitics.org/,
adrine-ter-arakelyan,Adrine Ter-Arakelyan,Kasseböhmer,2012,2025-08-01,http://www.etracker.com,
timur-lukas,Timur Lukas,Hildebrandt,2011,2025-07-16,http://www.timur-lukas.de/,
camilla-nicklaus-maurer,Camilla Nicklaus-Maurer,Jetelová,2005,2025-07-15,http://www.sueddeutsche.de/muenchen/dachau/kunst-in-dachau-geist-und-geruch-1.2940915,1983
christiane-schachtner,Christiane Schachtner,Dillemuth,2003,2025-07-04,http://www.pinakothek.de/de/wie-bilder-erzaehlen,
lenka-richterova,Lenka Richterová,Jetelová,2009,2025-06-30,http://www.youtube.com/watch?v=XgI3UZHOgWg,
daria-wendland,Daria Wendland,Nicolai,2006,2025-06-02,http://www.art-visuals.de,
vero-wendland,Vero Wendland,Zeniuk,2005,2025-06-02,http://www.art-visuals.de,
simone-braitinger,Simone Braitinger,Kasseböhmer,1993,2025-05-20,http://www.etracker.com,
katharina-ulke,Katharina Ulke,Scully,2004,2025-05-05,http://www.tascafilmsmunich.de/filmessays/,
