artist_slug,image_id,image_url,title,year,medium,dimensions,caption_raw,sha256,is_art,art_score
abir-kobeissi,abir-kobeissi_001.jpg,http://flachware.de/up/load/DSCF7149_s_1772320022.jpg,,,,,,4c3b0f542e1bbea1822bd9793ff8c24ae4ef3622f28479490fa3fed146382bdc,true,0.928
abir-kobeissi,abir-kobeissi_002.jpg,http://flachware.de/up/load/DSCF7146_s_1772320133.jpg,,,,,,f1ca2107130d303d863c0213dcd023a901e97c08a333c09ad0094c708524f915,false,0.445
abir-kobeissi,abir-kobeissi_003.jpg,http://flachware.de/up/load/DSCF7130_s_1772320206.jpg,,,,,,294dc5f002aca670b78ebc94174c4e323b7a9367db6c58ee55dfc163ea543903,false,0.114
abir-kobeissi,abir-kobeissi_004.jpg,http://flachware.de/up/load/Abir_Kobeissi_1_1738424599.jpg,Abir Kobeissi,,,,Abir Kobeissi,c50493108748f068cd2493c4e5d3b7b1bd8ef948df82ee2727c3709591fcc8d5,false,0.155
abir-kobeissi,abir-kobeissi_005.jpg,http://flachware.de/up/load/Abir_Kobeissi__1738424703.jpg,Abir Kobeissi 2025,2025,,,Abir Kobeissi 2025,a4fee82356d0f6dae30aa93e68623db525e5ebf271076bc688e5c3c001a3f584,false,0.375
abir-kobeissi,abir-kobeissi_006.jpg,http://flachware.de/up/load/Abir_Kobeissi_2_1738424744.jpg,Abir Kobeissi 2025,2025,,,Abir Kobeissi 2025,23b28bd06f92f150175c0cdfc5c6f03a32f3cdf9b4ee23e236908fc6f13fc8fd,false,0.263
abir-kobeissi,abir-kobeissi_007.jpg,http://flachware.de/up/load/Abir_Kobeissi_4_1738424775.jpg,Abir Kobeissi 2025,2025,,,Abir Kobeissi 2025,94bbc8a27afc391d4b57c47c34e52d5af7c19bb31ff104f961ba82e2cedf67da,false,0.342
abir-kobeissi,abir-kobeissi_008.jpg,http://flachware.de/up/load/Abir_Kobeissi_5_1738424807.jpg,Abir Kobeissi 2025,2025,,,Abir Kobeissi 2025,5d472baceab3bdd0a14ded032019372fa0fc46df863ba334bd34fcae22c8c97c,false,0.142
abir-kobeissi,abir-kobeissi_009.jpg,http://flachware.de/up/load/Abir_Kobeissi_speaking_1735419032.jpg,Abir Kobeissi 2024,2024,,,Abir Kobeissi 2024,c0a8db367b1cd22f309daacdfa0d822962876c4e79b67b87171b856eff56e03a,true,0.872
abir-kobeissi,abir-kobeissi_010.jpg,http://flachware.de/up/load/Abir_Kobeissi_1735418575.jpg,OPENING 22.01.2025 18:00 PLATFORM MUNICH,2025,,,OPENING 22.01.2025 18:00 PLATFORM MUNICH,6739ae706c23d8819a8ed165da75a9dec31e13c9e176258af8661c9404b2c119,false,0.046
abir-kobeissi,abir-kobeissi_011.jpg,http://flachware.de/up/load/7-Abir_Kobeissi_Glory_1735418167.jpg,Glory after misery,,,,Glory after misery,753ecb68f3f58de5eb9a618e5188348a5d986d00843d0dfd1eb33fd28de17804,false,0.328
abir-kobeissi,abir-kobeissi_012.jpg,http://flachware.de/up/load/Abir_Kobeissi_A_last_dance_1725962242.jpg,A last dance,2024,,,"A last dance, Diploma, Abir Kobeissi 2024",f4acb1e7da375ae86ae3f7c7a836af3e1377d550855063895aae0ae166efa732,false,0.03
